ticker,sector,horizon,h_days,early_stopping,epochs,always_up_acc,naive_RMSE,naive_MAPE,naive_DirAcc,linreg_RMSE,linreg_MAPE,linreg_DirAcc,lstm_RMSE,lstm_MAPE,lstm_DirAcc
ONGC.NS,Energy,next_month,21,True,11,57.4,21.20488612454411,6.404521560573186,0.0,20.43267478786562,6.109221565906409,64.20454545454545,20.556894248315572,6.6093487919468314,60.22727272727273
POWERGRID.NS,Energy,next_month,21,True,13,39.8,18.98739433331866,5.025042678957876,0.0,19.89318571642746,5.91636385334483,42.61363636363637,18.619664472510784,4.443026066561639,61.36363636363637
COALINDIA.NS,Energy,next_month,21,True,11,62.5,23.376938107179956,4.148497535682974,0.0,21.176373730240105,3.8517750943971536,63.63636363636363,25.15194640941134,4.644746573064509,48.29545454545455
ADANIGREEN.NS,Energy,next_month,21,True,12,60.2,164.70556828780178,10.926393873995371,0.0,169.94690229431583,13.733355093295513,59.65909090909091,182.49064018366565,15.356221861575214,60.22727272727273
IOC.NS,Energy,next_month,21,True,11,50.0,14.62017880707989,6.913793949849767,0.0,15.266095989998318,7.376494323192661,45.45454545454545,15.752931718749872,7.8887899836730435,50.0
ADANIENSOL.NS,Energy,next_month,21,True,17,69.3,149.04103337786987,8.665375585576498,0.0,144.45901539134601,8.297020334118582,52.27272727272727,186.2907046543597,12.086440751696461,37.5
BPCL.NS,Energy,next_month,21,True,11,55.7,34.36245462023073,7.8278467729850645,0.0,34.5447558417188,7.945605051699239,48.86363636363637,34.39535179499294,8.327138494135076,48.86363636363637
HINDUNILVR.NS,FMCG,next_month,21,True,11,36.9,135.79636770429985,5.062733128917463,0.0,130.24153480118542,4.809208453553829,54.54545454545454,135.15303894112864,5.052532015036435,55.68181818181818
ITC.NS,FMCG,next_month,21,True,11,34.1,26.202759037366352,5.424514074050756,0.0,33.392196985849665,7.431976760653723,35.79545454545455,33.37014362463388,7.79613363796204,34.090909090909086
NESTLEIND.NS,FMCG,next_month,21,True,11,49.4,98.30711870421446,5.213193815580719,0.0,100.72034790127731,5.498066642896293,67.04545454545455,95.98003638410619,5.03807158286087,60.79545454545454
VBL.NS,FMCG,next_month,21,True,12,57.4,43.95878984520259,7.134191337854554,0.0,51.27671074670244,9.131792921780175,51.70454545454546,48.31780237042929,8.181936969268277,57.38636363636363
BRITANNIA.NS,FMCG,next_month,21,True,13,38.6,277.66531981784374,4.001788296555263,0.0,301.12090218299454,4.294534471881835,43.75,418.90910607269393,6.2978595003991975,60.22727272727273
MARICO.NS,FMCG,next_month,21,True,13,65.9,35.71563660571112,3.624164837702478,0.0,57.58640210723934,6.49802145923685,34.090909090909086,67.00729560552229,7.7262788521790675,41.47727272727273
GODREJCP.NS,FMCG,next_month,21,True,15,45.5,79.61066647734546,5.558003764390884,0.5681818181818182,88.24501549324849,6.545811334377867,41.47727272727273,102.48599689839072,8.076150376305241,30.681818181818183
TATACONSUM.NS,FMCG,next_month,21,True,11,48.3,66.1389385049155,4.487028246848315,0.0,66.82304754831526,4.442118900984148,51.13636363636363,82.17530145128346,5.6279850167591405,51.70454545454546
DABUR.NS,FMCG,next_month,21,True,17,44.9,35.30589988027451,5.918835123908834,0.0,47.90390998714742,8.17059729162845,45.45454545454545,45.6027137316904,7.761607423101763,44.31818181818182
COLPAL.NS,FMCG,next_month,21,True,14,42.6,149.27995816167982,5.404029305775131,0.0,171.6877801481111,6.31231306018702,40.909090909090914,210.72508582210872,7.769096075740619,35.79545454545455
TCS.NS,Information Technology,next_year,252,False,30,0.0,983.6531829999622,39.19501632078733,0.0,804.3529060128558,27.322379499497934,100.0,586.6800192114724,22.06903670140068,100.0
INFY.NS,Information Technology,next_year,252,False,30,0.0,338.6278996278946,25.717804705192876,0.0,243.06201470028097,15.166620236939977,100.0,226.96627646361665,14.548910892951833,100.0
HCLTECH.NS,Information Technology,next_year,252,False,30,5.7,302.06997921994457,20.783288008883872,0.0,1273.0219715692356,87.54085651408919,94.32624113475178,269.3648444944837,15.003453642023187,94.32624113475178
WIPRO.NS,Information Technology,next_year,252,False,30,0.0,57.678661815727644,26.397301424865148,0.0,39.847283472247355,15.183324369613443,100.0,39.59995798490547,14.097002993369632,100.0
TECHM.NS,Information Technology,next_year,252,False,30,33.3,126.26264308787349,7.271043159980676,0.0,829.2212785646302,54.495443999283864,66.66666666666666,477.11942128514414,31.915702212648995,66.66666666666666
OFSS.NS,Information Technology,next_year,252,False,30,44.7,2054.366891695711,21.320603701615692,0.0,48299.225804446425,506.5909508931235,53.191489361702125,4272.993337195295,46.73513287711245,55.319148936170215
PERSISTENT.NS,Information Technology,next_year,252,False,30,19.1,654.2939094919703,10.599436346986241,0.0,7243.378272023948,121.5531718329206,81.56028368794325,2926.173226985896,40.78532833973874,56.02836879432624
COFORGE.NS,Information Technology,next_year,252,False,30,9.2,277.3056612805446,18.53902023262591,0.0,2574.762359469814,177.94424643698977,90.78014184397163,603.0341849592793,40.46131733072945,90.78014184397163
